Time,Oxygen Level,Pulse Rate,Motion
20:27:15 08/05/2026,93,60,0
20:27:16 08/05/2026,94,62,0
20:27:17 08/05/2026,94,62,0
20:27:18 08/05/2026,94,61,0
20:27:19 08/05/2026,94,62,0
20:27:20 08/05/2026,95,63,0
20:27:21 08/05/2026,95,63,0
20:27:22 08/05/2026,96,64,0
20:27:23 08/05/2026,96,64,0
20:27:24 08/05/2026,97,64,0
20:27:25 08/05/2026,97,64,0
20:27:26 08/05/2026,97,64,0
20:27:27 08/05/2026,97,63,0
20:27:28 08/05/2026,97,63,0
20:27:29 08/05/2026,97,62,0
20:27:30 08/05/2026,97,62,0
20:27:31 08/05/2026,97,62,0
20:27:32 08/05/2026,97,62,0
20:27:33 08/05/2026,97,62,0
20:27:34 08/05/2026,97,62,0
20:27:35 08/05/2026,97,63,0
20:27:36 08/05/2026,97,63,0
20:27:37 08/05/2026,97,63,0
20:27:38 08/05/2026,97,62,0
20:27:39 08/05/2026,97,62,0
20:27:40 08/05/2026,97,62,0
20:27:41 08/05/2026,97,62,0
20:27:42 08/05/2026,97,61,0
20:27:43 08/05/2026,97,61,0
20:27:44 08/05/2026,97,60,0
20:27:45 08/05/2026,97,60,0
20:27:46 08/05/2026,97,60,0
20:27:47 08/05/2026,97,61,0
20:27:48 08/05/2026,97,61,0
20:27:49 08/05/2026,97,61,0
20:27:50 08/05/2026,97,61,0
20:27:51 08/05/2026,97,61,0
20:27:52 08/05/2026,97,61,0
20:27:53 08/05/2026,97,61,0
20:27:54 08/05/2026,97,61,0
20:27:55 08/05/2026,97,61,0
20:27:56 08/05/2026,97,61,0
20:27:57 08/05/2026,97,61,0
20:27:58 08/05/2026,97,61,0
20:27:59 08/05/2026,97,61,0
20:28:00 08/05/2026,97,61,0
20:28:01 08/05/2026,97,61,0
20:28:02 08/05/2026,97,61,0
20:28:03 08/05/2026,97,61,0
20:28:04 08/05/2026,97,61,0
20:28:05 08/05/2026,97,61,0
20:28:06 08/05/2026,97,61,0
20:28:07 08/05/2026,97,61,0
20:28:08 08/05/2026,97,61,0
20:28:09 08/05/2026,97,61,0
20:28:10 08/05/2026,97,61,0
20:28:11 08/05/2026,97,61,0
20:28:12 08/05/2026,97,61,0
20:28:13 08/05/2026,97,61,0
20:28:14 08/05/2026,97,61,0
20:28:15 08/05/2026,97,61,0
20:28:16 08/05/2026,97,62,0
20:28:17 08/05/2026,97,62,0
20:28:18 08/05/2026,97,62,0
20:28:19 08/05/2026,97,62,0
20:28:20 08/05/2026,97,62,0
20:28:21 08/05/2026,97,63,0
20:28:22 08/05/2026,97,63,0
20:28:23 08/05/2026,97,63,0
20:28:24 08/05/2026,97,63,0
20:28:25 08/05/2026,97,63,0
20:28:26 08/05/2026,97,63,0
20:28:27 08/05/2026,97,63,0
20:28:28 08/05/2026,97,63,0
20:28:29 08/05/2026,97,64,0
20:28:30 08/05/2026,97,64,0
20:28:31 08/05/2026,98,64,0
20:28:32 08/05/2026,98,63,0
20:28:33 08/05/2026,98,63,0
20:28:34 08/05/2026,98,62,0
20:28:35 08/05/2026,98,61,0
20:28:36 08/05/2026,98,60,0
20:28:37 08/05/2026,98,59,0
20:28:38 08/05/2026,98,58,0
20:28:39 08/05/2026,98,58,0
20:28:40 08/05/2026,98,58,0
20:28:41 08/05/2026,98,58,0
20:28:42 08/05/2026,98,58,0
20:28:43 08/05/2026,98,58,0
20:28:44 08/05/2026,98,59,0
20:28:45 08/05/2026,98,59,0
20:28:46 08/05/2026,98,59,0
20:28:47 08/05/2026,98,59,0
20:28:48 08/05/2026,98,59,0
20:28:49 08/05/2026,98,59,0
20:28:50 08/05/2026,98,59,0
20:28:51 08/05/2026,98,58,0
