Time,Oxygen Level,Pulse Rate,Motion
20:46:43 13/06/2026,96,83,0
20:46:44 13/06/2026,96,80,0
20:46:45 13/06/2026,96,80,0
20:46:46 13/06/2026,96,80,0
20:46:47 13/06/2026,96,80,0
20:46:48 13/06/2026,96,80,0
20:46:49 13/06/2026,96,80,0
20:46:50 13/06/2026,96,81,0
20:46:51 13/06/2026,96,81,0
20:46:52 13/06/2026,97,81,0
20:46:53 13/06/2026,97,81,0
20:46:54 13/06/2026,97,81,0
20:46:55 13/06/2026,97,82,0
20:46:56 13/06/2026,97,82,0
20:46:57 13/06/2026,97,82,0
20:46:58 13/06/2026,97,82,0
20:46:59 13/06/2026,97,80,0
20:47:00 13/06/2026,97,81,0
20:47:01 13/06/2026,97,81,0
20:47:02 13/06/2026,97,80,0
20:47:03 13/06/2026,97,80,0
20:47:04 13/06/2026,97,80,0
20:47:05 13/06/2026,97,79,0
20:47:06 13/06/2026,97,79,0
20:47:07 13/06/2026,97,80,0
20:47:08 13/06/2026,97,80,0
20:47:09 13/06/2026,97,80,0
20:47:10 13/06/2026,97,80,0
20:47:11 13/06/2026,97,80,0
20:47:12 13/06/2026,97,80,0
20:47:13 13/06/2026,97,80,0
20:47:14 13/06/2026,97,80,0
20:47:15 13/06/2026,97,80,0
20:47:16 13/06/2026,97,80,0
20:47:17 13/06/2026,97,80,0
20:47:18 13/06/2026,97,80,0
20:47:19 13/06/2026,97,79,0
20:47:20 13/06/2026,97,79,0
20:47:21 13/06/2026,97,79,0
20:47:22 13/06/2026,97,79,0
20:47:23 13/06/2026,97,79,0
20:47:24 13/06/2026,97,78,0
20:47:25 13/06/2026,97,78,0
20:47:26 13/06/2026,97,78,0
20:47:27 13/06/2026,97,79,0
20:47:28 13/06/2026,97,79,0
20:47:29 13/06/2026,97,78,0
20:47:30 13/06/2026,97,77,0
20:47:31 13/06/2026,97,77,0
20:47:32 13/06/2026,97,76,0
20:47:33 13/06/2026,97,76,0
20:47:34 13/06/2026,97,76,0
20:47:35 13/06/2026,97,75,0
20:47:36 13/06/2026,97,75,0
20:47:37 13/06/2026,97,75,0
20:47:38 13/06/2026,97,76,0
20:47:39 13/06/2026,97,76,0
20:47:40 13/06/2026,97,76,0
20:47:41 13/06/2026,97,76,0
20:47:42 13/06/2026,97,76,0
20:47:43 13/06/2026,97,76,0
20:47:44 13/06/2026,97,76,0
20:47:45 13/06/2026,97,76,0
20:47:46 13/06/2026,97,76,0
20:47:47 13/06/2026,97,76,0
20:47:48 13/06/2026,97,76,0
20:47:49 13/06/2026,97,76,0
20:47:50 13/06/2026,97,76,0
20:47:51 13/06/2026,97,76,0
20:47:52 13/06/2026,97,76,0
20:47:53 13/06/2026,97,76,0
20:47:54 13/06/2026,97,76,0
20:47:55 13/06/2026,97,76,0
20:47:56 13/06/2026,97,76,0
20:47:57 13/06/2026,97,76,0
20:47:58 13/06/2026,97,76,0
20:47:59 13/06/2026,97,76,0
20:48:00 13/06/2026,97,76,0
20:48:01 13/06/2026,97,76,0
20:48:02 13/06/2026,97,76,0
20:48:03 13/06/2026,97,76,0
20:48:04 13/06/2026,97,76,0
20:48:05 13/06/2026,97,76,0
20:48:06 13/06/2026,97,76,0
20:48:07 13/06/2026,97,76,0
20:48:08 13/06/2026,97,76,0
20:48:09 13/06/2026,97,76,0
20:48:10 13/06/2026,97,76,0
20:48:11 13/06/2026,97,76,0
20:48:12 13/06/2026,97,76,0
20:48:13 13/06/2026,97,76,0
20:48:14 13/06/2026,97,76,0
20:48:15 13/06/2026,97,76,0
20:48:16 13/06/2026,97,76,0
20:48:17 13/06/2026,97,76,0
20:48:18 13/06/2026,97,76,0
20:48:19 13/06/2026,97,76,0
20:48:20 13/06/2026,97,76,0
20:48:21 13/06/2026,97,76,0
20:48:22 13/06/2026,97,76,0
20:48:23 13/06/2026,97,76,0
20:48:24 13/06/2026,97,76,0
20:48:25 13/06/2026,97,76,0
20:48:26 13/06/2026,97,76,0
20:48:27 13/06/2026,97,76,0
20:48:28 13/06/2026,97,76,0
20:48:29 13/06/2026,97,76,0
20:48:30 13/06/2026,97,77,0
20:48:31 13/06/2026,97,77,0
20:48:32 13/06/2026,97,77,0
20:48:33 13/06/2026,97,76,0
20:48:34 13/06/2026,97,76,0
20:48:35 13/06/2026,97,76,0
20:48:36 13/06/2026,97,76,0
20:48:37 13/06/2026,97,76,0
20:48:38 13/06/2026,97,76,0
20:48:39 13/06/2026,97,76,0
20:48:40 13/06/2026,97,76,0
20:48:41 13/06/2026,97,76,0
20:48:42 13/06/2026,97,78,0
20:48:43 13/06/2026,97,78,0
20:48:44 13/06/2026,97,78,0
20:48:45 13/06/2026,97,78,0
20:48:46 13/06/2026,97,78,0
20:48:47 13/06/2026,97,77,0
20:48:48 13/06/2026,97,75,0
20:48:49 13/06/2026,97,75,0
20:48:50 13/06/2026,97,75,2
20:48:51 13/06/2026,96,73,0
20:48:52 13/06/2026,96,73,0
20:48:53 13/06/2026,96,72,0
20:48:54 13/06/2026,96,71,0
20:48:55 13/06/2026,95,71,0
20:48:56 13/06/2026,95,70,0
20:48:57 13/06/2026,96,70,0
20:48:58 13/06/2026,96,70,0
20:48:59 13/06/2026,96,70,0
20:49:00 13/06/2026,97,71,0
20:49:01 13/06/2026,97,72,0
20:49:02 13/06/2026,97,73,0
20:49:03 13/06/2026,97,74,0
20:49:04 13/06/2026,97,74,0
20:49:05 13/06/2026,97,74,0
20:49:06 13/06/2026,96,74,2
20:49:07 13/06/2026,96,73,0
20:49:08 13/06/2026,96,72,0
20:49:09 13/06/2026,96,72,0
20:49:10 13/06/2026,96,72,0
20:49:11 13/06/2026,96,72,4
20:49:12 13/06/2026,96,72,0
20:49:13 13/06/2026,96,72,4
20:49:14 13/06/2026,96,72,8
20:49:15 13/06/2026,96,72,2
20:49:16 13/06/2026,96,72,0
20:49:17 13/06/2026,96,72,8
20:49:18 13/06/2026,96,72,16
20:49:19 13/06/2026,96,72,6
20:49:20 13/06/2026,96,72,0
20:49:21 13/06/2026,96,72,0
20:49:22 13/06/2026,96,72,12
20:49:23 13/06/2026,96,71,14
20:49:24 13/06/2026,96,70,8
20:49:25 13/06/2026,96,69,8
20:49:26 13/06/2026,96,69,2
20:49:27 13/06/2026,96,68,0
20:49:28 13/06/2026,96,68,18
20:49:29 13/06/2026,96,67,4
20:49:30 13/06/2026,96,68,16
20:49:31 13/06/2026,96,70,2
20:49:32 13/06/2026,96,70,0
20:49:33 13/06/2026,96,70,0
20:49:34 13/06/2026,96,70,0
20:49:35 13/06/2026,96,70,0
20:49:36 13/06/2026,96,71,0
20:49:37 13/06/2026,96,71,0
20:49:38 13/06/2026,96,71,0
20:49:39 13/06/2026,96,71,0
20:49:40 13/06/2026,96,72,0
20:49:41 13/06/2026,95,71,0
20:49:42 13/06/2026,94,71,0
20:49:43 13/06/2026,93,71,0
20:49:44 13/06/2026,92,71,0
20:49:45 13/06/2026,91,71,0
20:49:46 13/06/2026,91,71,0
20:49:47 13/06/2026,91,71,10
20:49:48 13/06/2026,91,70,0
20:49:49 13/06/2026,91,71,0
20:49:50 13/06/2026,91,71,8
20:49:51 13/06/2026,91,71,4
20:49:52 13/06/2026,91,71,2
20:49:53 13/06/2026,91,71,0
20:49:54 13/06/2026,91,71,0
20:49:55 13/06/2026,91,71,8
20:49:56 13/06/2026,91,71,0
20:49:57 13/06/2026,91,71,0
20:49:58 13/06/2026,91,71,0
20:49:59 13/06/2026,91,71,2
20:50:00 13/06/2026,91,71,0
20:50:01 13/06/2026,91,71,4
20:50:02 13/06/2026,91,71,0
20:50:03 13/06/2026,91,71,0
20:50:04 13/06/2026,91,71,8
20:50:05 13/06/2026,91,71,0
20:50:06 13/06/2026,91,70,0
20:50:07 13/06/2026,91,70,0
20:50:08 13/06/2026,91,71,0
20:50:09 13/06/2026,91,71,0
20:50:10 13/06/2026,91,71,0
20:50:11 13/06/2026,91,71,0
20:50:12 13/06/2026,91,71,0
20:50:13 13/06/2026,91,71,0
20:50:14 13/06/2026,92,71,2
20:50:15 13/06/2026,92,70,0
20:50:16 13/06/2026,92,70,0
20:50:17 13/06/2026,93,70,0
20:50:18 13/06/2026,93,70,0
20:50:19 13/06/2026,93,69,0
20:50:20 13/06/2026,94,69,0
20:50:21 13/06/2026,93,69,0
20:50:22 13/06/2026,93,68,0
20:50:23 13/06/2026,93,67,16
20:50:24 13/06/2026,94,68,0
20:50:25 13/06/2026,94,68,0
20:50:26 13/06/2026,93,69,0
20:50:27 13/06/2026,93,69,0
20:50:28 13/06/2026,93,69,0
20:50:29 13/06/2026,93,69,0
20:50:30 13/06/2026,93,70,0
20:50:31 13/06/2026,93,71,0
20:50:32 13/06/2026,93,71,0
20:50:33 13/06/2026,94,70,0
20:50:34 13/06/2026,95,69,0
20:50:35 13/06/2026,95,69,0
20:50:36 13/06/2026,96,68,0
20:50:37 13/06/2026,96,68,0
20:50:38 13/06/2026,96,67,0
20:50:39 13/06/2026,96,67,0
20:50:40 13/06/2026,96,66,0
20:50:41 13/06/2026,96,66,0
20:50:42 13/06/2026,96,65,0
20:50:43 13/06/2026,96,65,0
20:50:44 13/06/2026,96,64,0
20:50:45 13/06/2026,96,64,0
20:50:46 13/06/2026,96,63,0
20:50:47 13/06/2026,96,62,0
20:50:48 13/06/2026,97,62,0
20:50:49 13/06/2026,97,62,0
20:50:50 13/06/2026,97,62,0
20:50:51 13/06/2026,97,63,0
20:50:52 13/06/2026,97,64,0
20:50:53 13/06/2026,97,64,0
20:50:54 13/06/2026,97,65,2
20:50:55 13/06/2026,97,66,0
20:50:56 13/06/2026,97,67,0
20:50:57 13/06/2026,97,68,0
20:50:58 13/06/2026,98,68,0
20:50:59 13/06/2026,98,68,0
20:51:00 13/06/2026,98,68,0
20:51:01 13/06/2026,98,68,0
20:51:02 13/06/2026,98,68,0
20:51:03 13/06/2026,98,69,0
20:51:04 13/06/2026,97,70,0
20:51:05 13/06/2026,97,71,0
20:51:06 13/06/2026,97,71,0
20:51:07 13/06/2026,96,71,0
20:51:08 13/06/2026,96,71,0
20:51:09 13/06/2026,96,72,0
20:51:10 13/06/2026,96,71,0
20:51:11 13/06/2026,96,70,0
20:51:12 13/06/2026,96,69,0
20:51:13 13/06/2026,96,68,0
20:51:14 13/06/2026,96,67,0
20:51:15 13/06/2026,95,67,0
20:51:16 13/06/2026,95,67,0
20:51:17 13/06/2026,95,66,0
20:51:18 13/06/2026,95,65,0
20:51:19 13/06/2026,96,65,0
20:51:20 13/06/2026,96,66,0
20:51:21 13/06/2026,96,66,0
20:51:22 13/06/2026,96,66,0
20:51:23 13/06/2026,96,66,0
20:51:24 13/06/2026,96,65,0
20:51:25 13/06/2026,96,65,0
20:51:26 13/06/2026,96,66,0
20:51:27 13/06/2026,96,65,0
20:51:28 13/06/2026,96,65,0
20:51:29 13/06/2026,96,64,0
20:51:30 13/06/2026,96,64,0
20:51:31 13/06/2026,96,64,0
20:51:32 13/06/2026,96,65,0
20:51:33 13/06/2026,96,65,0
20:51:34 13/06/2026,96,65,0
20:51:35 13/06/2026,96,65,0
20:51:36 13/06/2026,96,66,0
20:51:37 13/06/2026,96,67,0
20:51:38 13/06/2026,96,67,0
20:51:39 13/06/2026,96,67,0
20:51:40 13/06/2026,96,67,0
20:51:41 13/06/2026,96,66,0
20:51:42 13/06/2026,96,65,0
20:51:43 13/06/2026,96,65,0
20:51:44 13/06/2026,96,65,0
20:51:45 13/06/2026,96,65,0
20:51:46 13/06/2026,96,64,0
20:51:47 13/06/2026,97,64,0
20:51:48 13/06/2026,97,65,0
20:51:49 13/06/2026,97,65,2
20:51:50 13/06/2026,97,66,0
20:51:51 13/06/2026,97,66,0
20:51:52 13/06/2026,97,65,0
20:51:53 13/06/2026,97,65,0
20:51:54 13/06/2026,97,65,0
20:51:55 13/06/2026,97,65,0
20:51:56 13/06/2026,97,65,8
20:51:57 13/06/2026,97,65,4
20:51:58 13/06/2026,97,64,4
20:51:59 13/06/2026,97,64,0
20:52:00 13/06/2026,97,64,0
20:52:01 13/06/2026,97,64,0
20:52:02 13/06/2026,97,64,0
20:52:03 13/06/2026,97,64,0
20:52:04 13/06/2026,97,64,0
20:52:05 13/06/2026,97,64,0
20:52:06 13/06/2026,97,64,0
20:52:07 13/06/2026,97,64,0
20:52:08 13/06/2026,97,64,0
20:52:09 13/06/2026,97,64,0
20:52:10 13/06/2026,97,64,0
20:52:11 13/06/2026,97,65,0
20:52:12 13/06/2026,97,66,0
20:52:13 13/06/2026,97,67,0
20:52:14 13/06/2026,97,67,0
20:52:15 13/06/2026,97,67,0
20:52:16 13/06/2026,97,67,0
20:52:17 13/06/2026,97,66,0
20:52:18 13/06/2026,97,66,0
20:52:19 13/06/2026,97,64,0
20:52:20 13/06/2026,96,63,0
20:52:21 13/06/2026,96,63,0
20:52:22 13/06/2026,96,62,0
20:52:23 13/06/2026,96,62,0
20:52:24 13/06/2026,96,62,0
20:52:25 13/06/2026,96,63,0
20:52:26 13/06/2026,96,62,0
20:52:27 13/06/2026,96,62,0
20:52:28 13/06/2026,96,62,0
20:52:29 13/06/2026,96,62,0
20:52:30 13/06/2026,96,63,0
20:52:31 13/06/2026,96,63,0
20:52:32 13/06/2026,96,63,0
20:52:33 13/06/2026,96,63,0
20:52:34 13/06/2026,96,64,0
20:52:35 13/06/2026,96,64,0
20:52:36 13/06/2026,96,66,0
20:52:37 13/06/2026,96,67,0
20:52:38 13/06/2026,96,68,0
20:52:39 13/06/2026,96,69,0
20:52:40 13/06/2026,96,69,0
20:52:41 13/06/2026,96,69,0
20:52:42 13/06/2026,96,69,0
20:52:43 13/06/2026,96,68,0
20:52:44 13/06/2026,96,67,0
20:52:45 13/06/2026,96,66,0
20:52:46 13/06/2026,96,65,0
20:52:47 13/06/2026,96,65,0
20:52:48 13/06/2026,96,64,0
20:52:49 13/06/2026,96,64,0
20:52:50 13/06/2026,96,63,0
20:52:51 13/06/2026,96,63,0
20:52:52 13/06/2026,96,62,0
20:52:53 13/06/2026,96,62,0
20:52:54 13/06/2026,96,61,0
20:52:55 13/06/2026,96,61,0
20:52:56 13/06/2026,96,61,0
20:52:57 13/06/2026,96,61,0
20:52:58 13/06/2026,96,61,0
20:52:59 13/06/2026,96,61,0
20:53:00 13/06/2026,96,62,0
20:53:01 13/06/2026,96,62,0
20:53:02 13/06/2026,96,63,0
20:53:03 13/06/2026,96,64,0
20:53:04 13/06/2026,96,64,0
20:53:05 13/06/2026,96,64,0
20:53:06 13/06/2026,96,64,0
20:53:07 13/06/2026,96,64,0
20:53:08 13/06/2026,96,64,0
20:53:09 13/06/2026,96,64,0
20:53:10 13/06/2026,96,64,0
20:53:11 13/06/2026,96,64,0
20:53:12 13/06/2026,96,64,0
20:53:13 13/06/2026,96,65,0
20:53:14 13/06/2026,96,65,0
20:53:15 13/06/2026,96,66,0
20:53:16 13/06/2026,96,66,0
20:53:17 13/06/2026,96,66,0
20:53:18 13/06/2026,96,66,0
20:53:19 13/06/2026,96,66,0
20:53:20 13/06/2026,96,66,0
20:53:21 13/06/2026,96,66,0
20:53:22 13/06/2026,96,66,0
20:53:23 13/06/2026,96,65,0
20:53:24 13/06/2026,96,65,0
20:53:25 13/06/2026,96,65,0
20:53:26 13/06/2026,96,65,0
20:53:27 13/06/2026,96,65,0
20:53:28 13/06/2026,96,64,0
20:53:29 13/06/2026,96,64,0
20:53:30 13/06/2026,96,63,0
20:53:31 13/06/2026,96,63,0
20:53:32 13/06/2026,96,62,0
20:53:33 13/06/2026,96,62,0
20:53:34 13/06/2026,96,63,0
20:53:35 13/06/2026,96,63,0
20:53:36 13/06/2026,96,63,0
20:53:37 13/06/2026,96,64,0
20:53:38 13/06/2026,96,64,0
20:53:39 13/06/2026,96,64,0
20:53:40 13/06/2026,96,64,0
20:53:41 13/06/2026,96,64,0
20:53:42 13/06/2026,96,63,0
20:53:43 13/06/2026,96,63,0
20:53:44 13/06/2026,96,63,0
20:53:45 13/06/2026,96,63,0
20:53:46 13/06/2026,96,63,0
20:53:47 13/06/2026,96,63,0
20:53:48 13/06/2026,96,62,0
20:53:49 13/06/2026,96,62,0
20:53:50 13/06/2026,96,61,0
20:53:51 13/06/2026,96,61,0
20:53:52 13/06/2026,96,61,0
20:53:53 13/06/2026,96,61,0
20:53:54 13/06/2026,96,62,0
20:53:55 13/06/2026,96,62,0
20:53:56 13/06/2026,96,63,0
20:53:57 13/06/2026,96,64,0
20:53:58 13/06/2026,96,65,0
20:53:59 13/06/2026,96,65,0
20:54:00 13/06/2026,96,65,0
20:54:01 13/06/2026,95,64,0
20:54:02 13/06/2026,95,63,0
20:54:03 13/06/2026,95,63,0
20:54:04 13/06/2026,95,62,0
20:54:05 13/06/2026,95,61,0
20:54:06 13/06/2026,95,61,0
20:54:07 13/06/2026,95,61,0
20:54:08 13/06/2026,94,61,0
20:54:09 13/06/2026,95,61,0
20:54:10 13/06/2026,95,61,0
20:54:11 13/06/2026,95,61,0
20:54:12 13/06/2026,95,61,0
20:54:13 13/06/2026,95,61,0
20:54:14 13/06/2026,95,61,0
20:54:15 13/06/2026,95,61,0
20:54:16 13/06/2026,95,61,0
