Time,Oxygen Level,Pulse Rate,Motion
22:08:08 02/07/2026,98,50,0
22:08:09 02/07/2026,98,50,0
22:08:10 02/07/2026,98,50,0
22:08:11 02/07/2026,98,50,0
22:08:12 02/07/2026,98,50,0
22:08:13 02/07/2026,98,50,0
22:08:14 02/07/2026,98,51,0
22:08:15 02/07/2026,98,51,0
22:08:16 02/07/2026,98,51,0
22:08:17 02/07/2026,98,51,0
22:08:18 02/07/2026,98,52,0
22:08:19 02/07/2026,98,52,0
22:08:20 02/07/2026,98,51,0
22:08:21 02/07/2026,98,51,0
22:08:22 02/07/2026,98,51,0
22:08:23 02/07/2026,98,50,0
22:08:24 02/07/2026,98,50,0
22:08:25 02/07/2026,98,49,0
22:08:26 02/07/2026,98,49,0
22:08:27 02/07/2026,98,49,0
22:08:28 02/07/2026,98,49,0
22:08:29 02/07/2026,98,48,0
22:08:30 02/07/2026,98,48,0
22:08:31 02/07/2026,98,48,0
22:08:32 02/07/2026,98,48,0
22:08:33 02/07/2026,98,49,0
22:08:34 02/07/2026,98,49,0
22:08:35 02/07/2026,98,49,0
22:08:36 02/07/2026,98,49,0
22:08:37 02/07/2026,98,50,0
22:08:38 02/07/2026,99,50,0
22:08:39 02/07/2026,99,50,0
22:08:40 02/07/2026,99,50,0
22:08:41 02/07/2026,99,50,0
22:08:42 02/07/2026,99,50,0
22:08:43 02/07/2026,99,51,0
22:08:44 02/07/2026,99,51,0
22:08:45 02/07/2026,99,50,0
22:08:46 02/07/2026,99,50,0
22:08:47 02/07/2026,99,50,0
22:08:48 02/07/2026,99,50,0
22:08:49 02/07/2026,99,50,0
22:08:50 02/07/2026,99,49,0
22:08:51 02/07/2026,99,50,0
22:08:52 02/07/2026,99,50,0
22:08:53 02/07/2026,99,50,0
22:08:54 02/07/2026,98,50,0
22:08:55 02/07/2026,98,50,0
22:08:56 02/07/2026,98,50,0
22:08:57 02/07/2026,98,50,0
22:08:58 02/07/2026,98,50,0
22:08:59 02/07/2026,98,50,0
22:09:00 02/07/2026,98,50,0
